inst#,actual,predicted,error,distribution,,
2,3:Iris-virginica,3:Iris-virginica,,0,0.077,*0.923
3,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
4,3:Iris-virginica,2:Iris-versicolor,+,0,*0.563,0.437
5,3:Iris-virginica,3:Iris-virginica,,0,0.077,*0.923
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.996,0.004
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,3:Iris-virginica,+,0,0,*1
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.989,0.011
1,3:Iris-virginica,3:Iris-virginica,,0,0.009,*0.991
2,3:Iris-virginica,2:Iris-versicolor,+,0,*0.664,0.336
3,3:Iris-virginica,2:Iris-versicolor,+,0,*0.719,0.281
4,3:Iris-virginica,3:Iris-virginica,,0,0,*1
5,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.986,0.014
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.248,*0.752
1,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
2,3:Iris-virginica,3:Iris-virginica,,0,0.014,*0.986
3,3:Iris-virginica,3:Iris-virginica,,0,0,*1
4,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
5,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
12,2:Iris-versicolor,2:Iris-versicolor,,0.001,*0.977,0.022
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.859,0.141
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.294,*0.706

